UserName;Date;Favorites;Retweets;Text
Greekboy8;Sat Apr 11 00:17:01 CEST 2015;2;12;RT @David_Cameron can make promises galore but after 5yrs of BROKEN PROMISES, he can Shove them #Skypapers #Bbcpapers pic.twitter.com/laVJXKJrKN
LoveMatters15;Sat Apr 11 00:16:25 CEST 2015;0;0;#Love is under attack. @David_Cameron and @JBrokenshire are the villains. https://www.youtube.com/watch?v=gIfzGQspw4U … #TrueLoveMatters
NewsatTwm;Sat Apr 11 00:13:19 CEST 2015;0;0;Doesn't sound as if the Chipping Norton set are very effective at organising a hustings @PeteOnTheA419 @OxMailHalliwell @David_Cameron
Greekboy8;Sat Apr 11 00:11:34 CEST 2015;6;15;RT @David_Cameron promises £8bn for #NHS really? & @EricPickles promises to slim down to 10st by Monday #Skypapers pic.twitter.com/3YKPt6n5eG
karendonaldson2;Sat Apr 11 00:09:25 CEST 2015;0;2;@Holbornlolz @richyh5712 can we dig him up please! what the UK need now is a strong leader, not EU kitchen wimps @David_Cameron
jsblake_uk;Sat Apr 11 00:07:21 CEST 2015;0;0;Hey @David_Cameron When you hired Lynton Crosby to run your election campaign I think he misheard, he thought you said 'Ruin your Campaign'
PeteOnTheA419;Sat Apr 11 00:07:03 CEST 2015;0;2;@NewsatTwm @OxMailHalliwell @David_Cameron Hearing Clive Peedell, NHA Party candidate (and ex MP) was excluded "by mistake".
morgbish;Sat Apr 11 00:06:50 CEST 2015;1;0;Saw @David_Cameron today in Dawlish pic.twitter.com/594hkDvfxg
underclassstate;Sat Apr 11 00:06:31 CEST 2015;0;0;8 billion 8 trillion in #NHS @David_Cameron or @Ed_Miliband makes no odds less u start by cleaning up incompetent managers on silly bonuses!
SparkzGFX;Sat Apr 11 00:06:17 CEST 2015;0;0;@David_Cameron when you lose the election, i'm sure @Starbucks could use a new mug bruv pic.twitter.com/qzDjS1PSAb
oldblackfener;Sat Apr 11 00:06:01 CEST 2015;1;0;@julieanneda @InequalityBrief I hear @David_Cameron is going to ask William Wilberforce if he's got any last minute #GE2015 policy ideas.
shamindernahal;Sat Apr 11 00:03:37 CEST 2015;1;4;. @MichaelLCrick "Do you think he's a decent man?" @David_Cameron "Well I don't really know Ed Miliband" - http://youtu.be/Tx8xHMG8edU  #c4news
ryruckledge;Sat Apr 11 00:00:59 CEST 2015;5;0;Forget votin for @David_Cameron @Ed_Miliband etc for prime minister vote @AlanCarr the country would b a happier place #chattyman @chattyman
ButchCredo;Sat Apr 11 00:00:51 CEST 2015;0;0;@David_Cameron Your NHS pledge rings hollow. You have proven that the NHS is your whipping boy, your top down reorganisation proves this.
shamindernahal;Fri Apr 10 23:59:19 CEST 2015;0;1;"To say he's stabbed his brother in the back is hardly adding to the political lexicon" @David_Cameron to @MichaelLCrick on Ed M #c4news
MarkRobotArm;Fri Apr 10 23:58:12 CEST 2015;0;0;. @David_Cameron promised in 2010: "Act now on the national debt". 2010: £0.76 trillion. 2015: £1.35 trillion. [claps] #kickhimout
LessThan140_;Fri Apr 10 23:57:58 CEST 2015;0;0;“ @David_Cameron: we're offering 15m people the opportunity of 3 days paid leave for #volunteering.” Should have given @trussliz 3 days off
MikkiL;Fri Apr 10 23:57:14 CEST 2015;0;0;@CliveMUKIP @CarperJones @ukipwebmaster @David_Cameron is that really 70% rules for EU stars missing and little bit left til March 2017 ?
fbreckels;Fri Apr 10 23:56:27 CEST 2015;1;1;@BlakeKM @mberest1982 @David_Cameron Yup, just as worthless
