,scores,,,,,
539,1,1,,,,
540,0,0,,,,
541,1,1,,,,
542,0,0,,,,
543,0,0,,,,
544,-2,-1,,,,
545,-1,-1,,,,
546,0,0,,,,
547,0,0,,,,
548,-2,-1,,,,
549,3,1,,,,
550,1,1,,,,
551,2,1,,,,
552,0,0,,,,
553,0,0,,,,
554,0,0,,,,
555,0,0,,,,
556,-1,-1,,,,
557,1,1,,,,
558,0,0,,,,
559,2,1,,,,
560,0,0,,,,
561,0,0,,,,
562,0,0,,,,
563,1,1,,,,
564,0,0,,,,
565,1,1,,,,
566,0,0,,,,
567,1,1,,,,
568,0,0,,,,
569,0,0,,,,
570,0,0,,,,
571,0,0,,,,
572,0,0,,,,
573,3,1,,,,
574,0,0,,,,
575,-1,-1,,,,
576,1,1,,,,
577,-1,-1,,,,
578,0,0,,,,
579,0,0,,,,
580,0,0,,,,
581,2,1,,,,
582,1,1,,,,
583,0,0,,,,
584,1,1,,,,
585,1,1,,,,
586,0,0,,,,
587,0,0,,,,
588,0,0,,,,
589,0,0,,,,
590,-1,-1,,,,
591,0,0,,,,
592,-1,-1,,,,
593,0,0,,,,
594,0,0,,,,
595,0,0,,,,
596,0,0,,,,
597,-1,-1,,,,
598,1,1,,,,
599,0,0,,,,
600,-1,-1,,,,
601,-1,-1,,,,
602,-1,-1,,,,
603,-1,-1,,,,
604,0,0,,,,
605,0,0,,,,
606,-2,-1,,,,
607,-1,-1,,,,
608,0,0,,,,
609,1,1,,,,
610,1,1,,,,
611,-1,-1,,,,
612,0,0,,,,
613,-1,-1,,,,
614,1,1,,,,
615,0,0,,,,
616,1,1,,,,
617,0,0,,,,
618,0,0,,,,
619,-1,-1,,,,
620,1,1,,,,
621,0,0,,,,
622,0,0,,,,
623,0,0,,,,
624,0,0,,,,
625,0,0,,,,
626,1,1,,,,
627,0,0,,,,
628,0,0,,,,
629,3,1,,,,
630,1,1,,,,
631,1,1,,,,
632,2,1,,,,
633,0,0,,,,
634,-2,-1,,,,
635,0,0,,,,
636,-1,-1,,,,
637,1,1,,,,
638,2,1,,,,
639,2,1,,,,
640,0,0,,,,
641,0,0,,,,
642,0,0,,,,
643,0,0,,,,
644,-1,-1,,,,
645,0,0,,,,
646,0,0,,,,
647,0,0,,,,
648,0,0,,,,
649,0,0,,,,
650,0,0,,,,
651,0,0,,,,
652,0,0,,,,
653,0,0,,,,
654,1,1,,,,
655,0,0,,,,
656,1,1,,,,
657,0,0,,,,
658,1,1,,,,
659,-2,-1,,,,
660,2,1,,,,
661,0,0,,,,
662,-1,-1,,,,
663,0,0,,,,
664,1,1,,,,
665,1,1,,,,
666,-1,-1,,,,
667,-2,-1,,,,
668,0,0,,,,
669,0,0,,,,
670,-1,-1,,,,
671,1,1,,,,
672,2,1,,,,
673,0,0,,,,
674,0,0,,,,
675,1,1,,,,
676,2,1,,,,
677,0,0,,,,
678,0,0,,,,
679,0,0,,,,
680,0,0,,,,
681,0,0,,,,
682,2,1,,,,
683,2,1,,,,
684,2,1,,,,
685,2,1,,,,
686,0,0,,,,
687,0,0,,,,
688,-1,-1,,,,
689,1,1,,,,
690,-2,-1,,,,
691,0,0,,,,
692,0,0,,,,
693,0,0,,,,
694,0,0,,,,
695,0,0,,,,
696,0,0,,,,
697,1,1,,,,
698,0,0,,,,
699,2,1,,,,
700,0,0,,,,
701,0,0,,,,
702,2,1,,,,
703,0,0,,,,
704,0,0,,,,
705,-1,-1,,,,
706,0,0,,,,
707,1,1,,,,
708,0,0,,,,
709,0,0,,,,
710,0,0,,,,
711,3,1,,,,
712,0,0,,,,
713,0,0,,,,
714,-1,-1,,,,
715,-1,-1,,,,
716,-1,-1,,,,
717,0,0,,,,
718,0,0,,,,
719,0,0,,,,
720,0,0,,,,
721,0,0,,,,
722,2,1,,,,
723,0,0,,,,
724,-1,-1,,,,
725,2,1,,,,
726,0,0,,,,
727,1,1,,,,
728,0,0,,,,
729,-1,-1,,,,
730,1,1,,,,
731,1,1,,,,
732,-1,-1,,,,
733,-1,-1,,,,
734,4,1,,,,
735,1,1,,,,
736,0,0,,,,
737,-1,-1,,,,
738,0,0,,,,
739,0,0,,,,
740,0,0,,,,
741,-1,-1,,,,
742,0,0,,,,
743,1,1,,,,
