,scores,
881,0,0
882,0,0
883,-2,-1
884,-2,-1
885,0,0
886,1,1
887,0,0
888,0,0
889,1,1
890,0,0
891,1,1
892,0,0
893,1,1
894,2,1
895,2,1
896,2,1
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,3,1
903,0,0
904,0,0
905,2,1
906,1,1
907,-2,-1
908,-2,-1
909,-1,-1
910,1,1
911,-1,-1
912,-1,-1
913,1,1
914,-1,-1
915,-1,-1
916,1,1
917,2,1
918,1,1
919,0,0
920,1,1
921,0,0
922,-1,-1
923,-2,-1
924,0,0
925,0,0
926,0,0
927,-1,-1
928,2,1
929,-3,-1
930,-1,-1
931,1,1
932,0,0
933,-1,-1
934,1,1
935,0,0
936,-1,-1
937,0,0
938,1,1
939,2,1
940,-2,-1
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,1,1
951,0,0
952,0,0
953,2,1
954,1,1
955,0,0
956,1,1
957,0,0
958,1,1
959,0,0
960,0,0
961,-1,-1
962,0,0
963,0,0
964,-2,-1
965,0,0
966,0,0
967,0,0
968,0,0
969,-1,-1
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,2,1
976,0,0
977,0,0
978,2,1
979,-1,-1
980,0,0
981,0,0
982,-1,-1
983,0,0
984,-1,-1
985,0,0
986,0,0
987,-3,-1
988,-1,-1
989,0,0
990,0,0
991,0,0
992,-1,-1
993,0,0
994,0,0
995,-1,-1
996,0,0
997,0,0
998,0,0
999,1,1
1000,0,0
1001,0,0
1002,0,0
1003,0,0
1004,1,1
1005,0,0
1006,0,0
1007,1,1
1008,-1,-1
1009,1,1
1010,-2,-1
1011,0,0
1012,0,0
1013,1,1
1014,0,0
1015,0,0
1016,-1,-1
1017,0,0
1018,0,0
1019,1,1
1020,-2,-1
1021,0,0
1022,-1,-1
1023,0,0
1024,1,1
1025,2,1
1026,0,0
1027,0,0
1028,1,1
1029,-1,-1
1030,0,0
1031,-1,-1
1032,0,0
1033,0,0
1034,1,1
1035,1,1
1036,1,1
1037,0,0
1038,-1,-1
1039,1,1
1040,0,0
1041,-1,-1
1042,-5,-1
1043,-1,-1
1044,1,1
1045,0,0
1046,0,0
1047,0,0
1048,0,0
1049,2,1
1050,1,1
1051,0,0
1052,0,0
1053,0,0
1054,0,0
1055,-1,-1
1056,-2,-1
1057,0,0
1058,0,0
1059,0,0
1060,0,0
1061,0,0
1062,-2,-1
1063,0,0
1064,0,0
1065,-1,-1
1066,1,1
1067,0,0
1068,0,0
1069,0,0
1070,0,0
1071,2,1
1072,0,0
1073,0,0
1074,-1,-1
1075,0,0
1076,0,0
1077,3,1
1078,-2,-1
1079,-2,-1
1080,0,0
1081,1,1
1082,-1,-1
1083,0,0
1084,-2,-1
1085,0,0
1086,-1,-1
1087,-1,-1
1088,0,0
1089,2,1
1090,1,1
1091,1,1
1092,-1,-1
1093,-2,-1
1094,-1,-1
1095,-2,-1
1096,-1,-1
1097,1,1
1098,-1,-1
1099,2,1
1100,0,0
1101,0,0
1102,0,0
1103,0,0
1104,-1,-1
1105,0,0
1106,0,0
1107,0,0
1108,1,1
1109,0,0
1110,0,0
1111,1,1
1112,1,1
1113,0,0
1114,0,0
1115,0,0
1116,0,0
1117,0,0
1118,0,0
1119,-1,-1
1120,0,0
1121,0,0
1122,-2,-1
1123,1,1
1124,1,1
1125,0,0
1126,1,1
1127,0,0
1128,0,0
1129,0,0
1130,0,0
1131,3,1
1132,-1,-1
1133,0,0
1134,1,1
1135,0,0
1136,1,1
1137,0,0
1138,0,0
1139,1,1
1140,-1,-1
1141,-2,-1
1142,0,0
1143,2,1
1144,2,1
1145,-1,-1
1146,1,1
1147,0,0
1148,1,1
1149,0,0
1150,0,0
1151,2,1
1152,0,0
1153,0,0
1154,0,0
1155,2,1
1156,0,0
1157,2,1
1158,-3,-1
1159,0,0
1160,-1,-1
1161,0,0
1162,1,1
1163,0,0
1164,1,1
1165,0,0
1166,-2,-1
1167,0,0
1168,1,1
1169,2,1
1170,0,0
1171,-1,-1
1172,0,0
1173,0,0
1174,0,0
1175,0,0
1176,0,0
1177,0,0
1178,0,0
1179,1,1
1180,0,0
1181,0,0
1182,0,0
1183,0,0
1184,0,0
1185,1,1
1186,0,0
1187,1,1
1188,3,1
1189,2,1
1190,0,0
1191,0,0
1192,1,1
1193,1,1
1194,1,1
1195,-1,-1
1196,0,0
1197,0,0
1198,1,1
1199,0,0
1200,0,0
1201,0,0
1202,1,1
1203,-2,-1
1204,0,0
1205,0,0
1206,1,1
1207,0,0
1208,0,0
1209,0,0
1210,0,0
1211,1,1
1212,1,1
1213,1,1
1214,0,0
1215,1,1
1216,1,1
1217,0,0
1218,-1,-1
1219,0,0
1220,0,0
1221,-1,-1
1222,1,1
1223,2,1
1224,1,1
1225,1,1
1226,0,0
1227,0,0
1228,2,1
1229,1,1
1230,1,1
1231,0,0
1232,-1,-1
1233,0,0
1234,1,1
1235,-1,-1
1236,-1,-1
1237,3,1
1238,0,0
1239,0,0
1240,1,1
1241,0,0
1242,0,0
1243,0,0
1244,2,1
1245,-1,-1
1246,1,1
1247,0,0
1248,-1,-1
1249,0,0
1250,2,1
1251,0,0
1252,0,0
1253,0,0
1254,1,1
1255,0,0
1256,0,0
1257,1,1
1258,0,0
1259,1,1
1260,0,0
1261,1,1
1262,0,0
1263,0,0
1264,0,0
1265,1,1
1266,2,1
1267,0,0
1268,0,0
1269,0,0
1270,0,0
1271,0,0
1272,0,0
1273,1,1
1274,0,0
1275,0,0
1276,0,0
1277,0,0
1278,0,0
1279,0,0
1280,1,1
1281,0,0
1282,0,0
1283,2,1
1284,0,0
1285,2,1
1286,1,1
1287,1,1
1288,0,0
1289,1,1
1290,1,1
1291,0,0
1292,0,0
1293,0,0
1294,0,0
1295,1,1
1296,0,0
1297,-1,-1
1298,0,0
1299,0,0
1300,-1,-1
1301,-1,-1
1302,1,1
1303,0,0
1304,0,0
1305,0,0
1306,0,0
1307,-1,-1
1308,0,0
1309,1,1
1310,1,1
1311,-1,-1
1312,1,1
1313,1,1
1314,0,0
1315,0,0
1316,-1,-1
1317,0,0
1318,0,0
1319,0,0
1320,1,1
1321,-2,-1
1322,0,0
1323,0,0
1324,1,1
1325,0,0
1326,0,0
1327,1,1
1328,1,1
1329,1,1
1330,-2,-1
1331,1,1
1332,0,0
1333,2,1
1334,0,0
1335,0,0
1336,0,0
1337,0,0
1338,0,0
1339,0,0
1340,1,1
1341,0,0
1342,-1,-1
1343,0,0
1344,-1,-1
1345,1,1
1346,0,0
1347,0,0
1348,0,0
1349,0,0
1350,-1,-1
1351,0,0
1352,-1,-1
1353,1,1
1354,0,0
1355,-1,-1
1356,1,1
1357,1,1
1358,2,1
1359,-1,-1
1360,0,0
1361,0,0
1362,0,0
1363,0,0
1364,1,1
1365,0,0
1366,1,1
1367,1,1
1368,0,0
1369,0,0
1370,0,0
1371,-2,-1
1372,1,1
1373,0,0
1374,0,0
1375,0,0
1376,1,1
1377,0,0
1378,0,0
1379,0,0
1380,1,1
1381,2,1
1382,0,0
1383,1,1
1384,0,0
